Lat(y);Long(x);Damage
-25.7;27.9;2.56
-25.65;27.9;2.55
-25.6;27.9;2.5
-25.55;27.9;2.39
-25.5;27.9;2.24
-25.45;27.9;2.04
-25.4;27.9;1.81
-25.35;27.9;1.47
-25.3;27.9;0
-25.25;27.9;0
-25.2;27.9;0
-25.15;27.9;0
-25.1;27.9;0
-25.05;27.9;0
-25;27.9;0
-24.95;27.9;0
-24.9;27.9;0
-27.1;27.95;2.22
-27.05;27.95;2.56
-27;27.95;2.8
-26.95;27.95;2.99
-26.9;27.95;3.8
-26.85;27.95;4.72
-26.8;27.95;5.43
-26.75;27.95;6.13
-26.7;27.95;7
-26.65;27.95;8.03
-26.6;27.95;9.29
-26.55;27.95;10.79
-26.5;27.95;12.08
-26.45;27.95;13.1
-26.4;27.95;14.01
-26.35;27.95;14.49
-26.3;27.95;14.56
-26.25;27.95;14.19
-26.2;27.95;13.36
-26.15;27.95;12.4
-26.1;27.95;11.15
-26.05;27.95;9.48
-26;27.95;7.32
-25.95;27.95;4.62
-25.9;27.95;2.89
-25.85;27.95;2.53
-25.8;27.95;2.28
-25.75;27.95;2.26
-25.7;27.95;2.29
-25.65;27.95;2.27
-25.6;27.95;2.22
-25.55;27.95;2.12
-25.5;27.95;1.95
-25.45;27.95;1.76
-25.4;27.95;1.51
-25.35;27.95;1.13
-25.3;27.95;0
-25.25;27.95;0
-25.2;27.95;0
-25.15;27.95;0
-25.1;27.95;0
-25.05;27.95;0
-25;27.95;0
-24.95;27.95;0
-24.9;27.95;0
-27.1;28;2.21
-27.05;28;2.54
-27;28;2.79
-26.95;28;2.98
-26.9;28;3.69
-26.85;28;4.56
-26.8;28;5.21
-26.75;28;5.64
-26.7;28;5.97
-26.65;28;6.47
-26.6;28;7.6
-26.55;28;9.05
-26.5;28;10.42
-26.45;28;11.62
-26.4;28;12.63
-26.35;28;13.37
-26.3;28;13.87
-26.25;28;13.91
-26.2;28;13.45
-26.15;28;12.71
-26.1;28;11.65
-26.05;28;10.12
-26;28;8.02
-25.95;28;5.26
-25.9;28;2.93
-25.85;28;2.51
-25.8;28;2.06
-25.75;28;1.92
-25.7;28;1.93
-25.65;28;1.91
-25.6;28;1.85
-25.55;28;1.73
-25.5;28;1.57
-25.45;28;1.36
-25.4;28;1.06
-25.35;28;0
-25.3;28;0
-25.25;28;0
-25.2;28;0
-25.15;28;0
-25.1;28;0
-25.05;28;0
-25;28;0
-24.95;28;0
-24.9;28;0
-27.1;28.05;2.16
-27.05;28.05;2.5
-27;28.05;2.75
-26.95;28.05;2.94
-26.9;28.05;3.3
-26.85;28.05;4.21
-26.8;28.05;4.81
-26.75;28.05;5.08
-26.7;28.05;5.09
-26.65;28.05;5.18
-26.6;28.05;6.17
-26.55;28.05;7.69
-26.5;28.05;9.31
-26.45;28.05;10.84
-26.4;28.05;12.11
-26.35;28.05;13.04
-26.3;28.05;13.74
-26.25;28.05;14.06
-26.2;28.05;13.89
-26.15;28.05;13.13
-26.1;28.05;12.18
-26.05;28.05;10.73
-26;28.05;8.68
-25.95;28.05;5.98
-25.9;28.05;3
-25.85;28.05;2.53
-25.8;28.05;1.91
-25.75;28.05;1.49
-25.7;28.05;1.42
-25.65;28.05;1.34
-25.6;28.05;1.29
-25.55;28.05;1.15
-25.5;28.05;0
-25.45;28.05;0
-25.4;28.05;0
-25.35;28.05;0
-25.3;28.05;0
-25.25;28.05;0
-25.2;28.05;0
-25.15;28.05;0
-25.1;28.05;0
-25.05;28.05;0
-25;28.05;0
-24.95;28.05;0
-24.9;28.05;0
-27.1;28.1;2.07
-27.05;28.1;2.42
-27;28.1;2.67
-26.95;28.1;2.86
-26.9;28.1;3.01
-26.85;28.1;3.56
-26.8;28.1;4.13
-26.75;28.1;4.34
-26.7;28.1;4.26
-26.65;28.1;4.35
-26.6;28.1;5.3
-26.55;28.1;6.9
-26.5;28.1;8.72
-26.45;28.1;10.5
-26.4;28.1;11.97
-26.35;28.1;13.06
-26.3;28.1;13.99
-26.25;28.1;14.52
-26.2;28.1;14.42
-26.15;28.1;13.66
-26.1;28.1;12.61
-26.05;28.1;11.21
-26;28.1;9.2
-25.95;28.1;6.53
-25.9;28.1;3.09
-25.85;28.1;2.58
-25.8;28.1;1.86
-25.75;28.1;0
-25.7;28.1;0
-25.65;28.1;0
-25.6;28.1;0
-25.55;28.1;0
-25.5;28.1;0
-25.45;28.1;0
-25.4;28.1;0
-25.35;28.1;0
-25.3;28.1;0
-25.25;28.1;0
-25.2;28.1;0
-25.15;28.1;0
-25.1;28.1;0
-25.05;28.1;0
-25;28.1;0
-24.95;28.1;0
-24.9;28.1;0
-27.1;28.15;1.9
-27.05;28.15;2.29
-27;28.15;2.55
-26.95;28.15;2.75
-26.9;28.15;2.9
-26.85;28.15;3
-26.8;28.15;3.09
-26.75;28.15;3.31
-26.7;28.15;3.22
-26.65;28.15;3.45
-26.6;28.15;4.68
-26.55;28.15;6.48
-26.5;28.15;8.5
-26.45;28.15;10.43
-26.4;28.15;12.02
-26.35;28.15;13.17
-26.3;28.15;14.26
-26.25;28.15;14.88
-26.2;28.15;14.82
-26.15;28.15;14.04
-26.1;28.15;12.86
-26.05;28.15;11.47
-26;28.15;9.51
-25.95;28.15;6.9
-25.9;28.15;3.45
-25.85;28.15;2.62
-25.8;28.15;1.91
-25.75;28.15;0
-25.7;28.15;0
-25.65;28.15;0
-25.6;28.15;0
-25.55;28.15;0
-25.5;28.15;0
-25.45;28.15;0
-25.4;28.15;0
-25.35;28.15;0
-25.3;28.15;0
-25.25;28.15;0
-25.2;28.15;0
-25.15;28.15;0
-25.1;28.15;0
-25.05;28.15;0
-25;28.15;0
-24.95;28.15;0
-24.9;28.15;0
-27.1;28.2;1.69
-27.05;28.2;2.11
-27;28.2;2.39
-26.95;28.2;2.6
-26.9;28.2;2.75
-26.85;28.2;2.86
-26.8;28.2;2.92
-26.75;28.2;2.94
-26.7;28.2;2.94
-26.65;28.2;2.98
-26.6;28.2;3.98
-26.55;28.2;6.08
-26.5;28.2;8.3
-26.45;28.2;10.37
-26.4;28.2;12.01
-26.35;28.2;13.21
-26.3;28.2;14.35
-26.25;28.2;15.02
-26.2;28.2;14.96
-26.15;28.2;14.11
-26.1;28.2;12.9
-26.05;28.2;11.51
-26;28.2;9.59
-25.95;28.2;6.99
-25.9;28.2;3.48
-25.85;28.2;2.63
-25.8;28.2;1.92
-25.75;28.2;0
-25.7;28.2;0
-25.65;28.2;0
-25.6;28.2;0
-25.55;28.2;0
-25.5;28.2;0
-25.45;28.2;0
-25.4;28.2;0
-25.35;28.2;0
-25.3;28.2;0
-25.25;28.2;0
-25.2;28.2;0
-25.15;28.2;0
-25.1;28.2;0
-25.05;28.2;0
-25;28.2;0
-24.95;28.2;0
-24.9;28.2;0
-27.1;28.25;1.35
-27.05;28.25;1.85
-27;28.25;2.17
-26.95;28.25;2.41
-26.9;28.25;2.57
-26.85;28.25;2.68
-26.8;28.25;2.73
-26.75;28.25;2.76
-26.7;28.25;2.76
-26.65;28.25;2.84
-26.6;28.25;3.05
-26.55;28.25;5.54
-26.5;28.25;7.98
-26.45;28.25;10.13
-26.4;28.25;11.84
-26.35;28.25;13.07
-26.3;28.25;14.19
-26.25;28.25;14.8
-26.2;28.25;14.66
-26.15;28.25;13.82
-26.1;28.25;12.71
-26.05;28.25;11.31
-26;28.25;9.34
-25.95;28.25;6.69
-25.9;28.25;3.22
-25.85;28.25;2.59
-25.8;28.25;1.83
-25.75;28.25;0
-25.7;28.25;0
-25.65;28.25;0
-25.6;28.25;0
-25.55;28.25;0
-25.5;28.25;0
-25.45;28.25;0
-25.4;28.25;0
-25.35;28.25;0
-25.3;28.25;0
-25.25;28.25;0
-25.2;28.25;0
-25.15;28.25;0
-25.1;28.25;0
-25.05;28.25;0
-25;28.25;0
-24.95;28.25;0
-24.9;28.25;0
-27.1;28.3;0
-27.05;28.3;1.48
-27;28.3;1.87
-26.95;28.3;2.15
-26.9;28.3;2.33
-26.85;28.3;2.44
-26.8;28.3;2.5
-26.75;28.3;2.53
-26.7;28.3;2.54
-26.65;28.3;2.66
-26.6;28.3;2.93
-26.55;28.3;4.75
-26.5;28.3;7.36
-26.45;28.3;9.61
-26.4;28.3;11.38
-26.35;28.3;12.66
-26.3;28.3;13.61
-26.25;28.3;14.13
-26.2;28.3;13.95
-26.15;28.3;13.19
-26.1;28.3;12.24
-26.05;28.3;10.79
-26;28.3;8.76
-25.95;28.3;6.06
-25.9;28.3;3.01
-25.85;28.3;2.51
-25.8;28.3;1.71
-25.75;28.3;0
-25.7;28.3;0
-25.65;28.3;0
-25.6;28.3;0
-25.55;28.3;0
-25.5;28.3;0
-25.45;28.3;0
-25.4;28.3;0
-25.35;28.3;0
-25.3;28.3;0
-25.25;28.3;0
-25.2;28.3;0
-25.15;28.3;0
-25.1;28.3;0
-25.05;28.3;0
-25;28.3;0
-24.95;28.3;0
-24.9;28.3;0
-27.1;28.35;0
-27.05;28.35;0
-27;28.35;1.47
-26.95;28.35;1.79
-26.9;28.35;2.02
-26.85;28.35;2.15
-26.8;28.35;2.22
-26.75;28.35;2.27
-26.7;28.35;2.29
-26.65;28.35;2.45
-26.6;28.35;2.78
-26.55;28.35;3.65
