Lat(y);Long(x);PGA
-24.250;16.750;0.0289
-24.000;16.750;0.0205
-23.750;16.750;0.0201
-23.500;16.750;0.0194
-23.250;16.750;0.0187
-23.000;16.750;0.0167
-22.750;16.750;0.0155
-22.500;16.750;0.0137
-22.250;16.750;0.0108
-22.000;16.750;0.0063
-21.750;16.750;0.0001
-21.500;16.750;0.0001
-21.250;16.750;0.0001
-21.000;16.750;0.0001
-35.000;17.000;0.0375
-34.750;17.000;0.0732
-34.500;17.000;0.0986
-34.250;17.000;0.1067
-34.000;17.000;0.1075
-33.750;17.000;0.1009
-33.500;17.000;0.0956
-33.250;17.000;0.0693
-33.000;17.000;0.0451
-32.750;17.000;0.0314
-32.500;17.000;0.0297
-32.250;17.000;0.0276
-32.000;17.000;0.0260
-31.750;17.000;0.0250
-31.500;17.000;0.0274
-31.250;17.000;0.0301
-31.000;17.000;0.0303
-30.750;17.000;0.0295
-30.500;17.000;0.0295
-30.250;17.000;0.0366
-30.000;17.000;0.0394
-29.750;17.000;0.0428
-29.500;17.000;0.0424
-29.250;17.000;0.0359
-29.000;17.000;0.0332
-28.750;17.000;0.0306
-28.500;17.000;0.0294
-28.250;17.000;0.0282
-28.000;17.000;0.0273
-27.750;17.000;0.0251
-27.500;17.000;0.0209
-27.250;17.000;0.0196
-27.000;17.000;0.0192
-26.750;17.000;0.0170
-26.500;17.000;0.0130
-26.250;17.000;0.0129
-26.000;17.000;0.0132
-25.750;17.000;0.0159
-25.500;17.000;0.0209
-25.250;17.000;0.0373
-25.000;17.000;0.0306
-24.750;17.000;0.0212
-24.500;17.000;0.0160
-24.250;17.000;0.0259
-24.000;17.000;0.0345
-23.750;17.000;0.0280
-23.500;17.000;0.0210
-23.250;17.000;0.0194
-23.000;17.000;0.0180
-22.750;17.000;0.0171
-22.500;17.000;0.0156
-22.250;17.000;0.0136
-22.000;17.000;0.0107
-21.750;17.000;0.0032
-21.500;17.000;0.0001
-21.250;17.000;0.0001
-21.000;17.000;0.0001
-35.000;17.250;0.0813
-34.750;17.250;0.1040
-34.500;17.250;0.1084
-34.250;17.250;0.1081
-34.000;17.250;0.1043
-33.750;17.250;0.0949
-33.500;17.250;0.0898
-33.250;17.250;0.0891
-33.000;17.250;0.0483
-32.750;17.250;0.0365
-32.500;17.250;0.0305
-32.250;17.250;0.0293
-32.000;17.250;0.0279
-31.750;17.250;0.0285
-31.500;17.250;0.0308
-31.250;17.250;0.0309
-31.000;17.250;0.0301
-30.750;17.250;0.0295
-30.500;17.250;0.0321
-30.250;17.250;0.0391
-30.000;17.250;0.0442
-29.750;17.250;0.0465
-29.500;17.250;0.0459
-29.250;17.250;0.0399
-29.000;17.250;0.0358
-28.750;17.250;0.0341
-28.500;17.250;0.0305
-28.250;17.250;0.0294
-28.000;17.250;0.0279
-27.750;17.250;0.0260
-27.500;17.250;0.0206
-27.250;17.250;0.0199
-27.000;17.250;0.0190
-26.750;17.250;0.0171
-26.500;17.250;0.0132
-26.250;17.250;0.0130
-26.000;17.250;0.0117
-25.750;17.250;0.0134
-25.500;17.250;0.0168
-25.250;17.250;0.0196
-25.000;17.250;0.0577
-24.750;17.250;0.0268
