       Lat(y)	    Long(x)	   Modified Mercalli Intensity
       -25.850      27.350         6.1015
       -25.800      27.350         6.2449
       -25.750      27.350         6.3400
       -25.700      27.350         6.3938
       -25.650      27.350         6.4065
       -25.600      27.350         6.3759
       -25.550      27.350         6.3044
       -25.500      27.350         6.1881
       -25.450      27.350         6.0336
       -25.400      27.350         5.8400
       -25.350      27.350         5.5966
       -25.300      27.350         5.2809
       -25.250      27.350         4.9040
       -25.200      27.350         4.3918
       -25.150      27.350         3.6282
       -25.100      27.350         0.0100
       -25.050      27.350         0.0100
       -25.000      27.350         0.0100
       -24.950      27.350         0.0100
       -24.900      27.350         0.0001
       -27.100      27.400         0.0100
       -27.050      27.400         0.0100
       -27.000      27.400         0.0100
       -26.950      27.400         3.1314
       -26.900      27.400         4.5410
       -26.850      27.400         5.8552
       -26.800      27.400         6.7125
       -26.750      27.400         7.2283
       -26.700      27.400         7.5739
       -26.650      27.400         7.8290
       -26.600      27.400         8.0147
       -26.550      27.400         8.1397
       -26.500      27.400         8.2195
       -26.450      27.400         8.2639
       -26.400      27.400         8.2735
       -26.350      27.400         8.2442
       -26.300      27.400         8.1800
       -26.250      27.400         8.0768
       -26.200      27.400         7.9218
       -26.150      27.400         7.7013
       -26.100      27.400         7.4053
       -26.050      27.400         6.9978
       -26.000      27.400         6.4383
       -25.950      27.400         5.9329
       -25.900      27.400         5.9928
       -25.850      27.400         6.1537
       -25.800      27.400         6.2863
       -25.750      27.400         6.3741
       -25.700      27.400         6.4218
       -25.650      27.400         6.4275
       -25.600      27.400         6.3923
       -25.550      27.400         6.3145
       -25.500      27.400         6.1969
       -25.450      27.400         6.0367
       -25.400      27.400         5.8335
       -25.350      27.400         5.5815
       -25.300      27.400         5.2491
       -25.250      27.400         4.8643
       -25.200      27.400         4.3646
       -25.150      27.400         3.5061
       -25.100      27.400         0.0100
       -25.050      27.400         0.0100
       -25.000      27.400         0.0100
       -24.950      27.400         0.0100
       -24.900      27.400         0.0100
       -27.100      27.450         0.0100
       -27.050      27.450         0.0100
       -27.000      27.450         3.4816
       -26.950      27.450         4.1409
       -26.900      27.450         4.8300
       -26.850      27.450         5.9184
       -26.800      27.450         6.7462
       -26.750      27.450         7.2439
       -26.700      27.450         7.5836
       -26.650      27.450         7.8368
       -26.600      27.450         8.0191
       -26.550      27.450         8.1421
       -26.500      27.450         8.2194
       -26.450      27.450         8.2627
       -26.400      27.450         8.2731
       -26.350      27.450         8.2441
       -26.300      27.450         8.1809
       -26.250      27.450         8.0792
       -26.200      27.450         7.9260
       -26.150      27.450         7.7106
       -26.100      27.450         7.4200
       -26.050      27.450         7.0239
       -26.000      27.450         6.5056
       -25.950      27.450         6.0237
       -25.900      27.450         6.0483
       -25.850      27.450         6.1856
       -25.800      27.450         6.3044
       -25.750      27.450         6.3862
       -25.700      27.450         6.4267
       -25.650      27.450         6.4269
       -25.600      27.450         6.3877
       -25.550      27.450         6.3063
       -25.500      27.450         6.1855
       -25.450      27.450         6.0196
       -25.400      27.450         5.8088
       -25.350      27.450         5.5426
       -25.300      27.450         5.2011
       -25.250      27.450         4.7664
       -25.200      27.450         4.2225
       -25.150      27.450         3.0226
       -25.100      27.450         0.0100
       -25.050      27.450         0.0100
       -25.000      27.450         0.0100
       -24.950      27.450         0.0100
       -24.900      27.450         0.0100
       -27.100      27.500         0.0100
       -27.050      27.500         3.4629
       -27.000      27.500         4.2043
       -26.950      27.500         4.6003
       -26.900      27.500         5.0737
       -26.850      27.500         5.9589
       -26.800      27.500         6.7324
       -26.750      27.500         7.2239
       -26.700      27.500         7.5632
       -26.650      27.500         7.8131
       -26.600      27.500         7.9951
       -26.550      27.500         8.1192
       -26.500      27.500         8.1971
       -26.450      27.500         8.2394
       -26.400      27.500         8.2479
       -26.350      27.500         8.2187
       -26.300      27.500         8.1568
       -26.250      27.500         8.0550
       -26.200      27.500         7.9025
       -26.150      27.500         7.6870
       -26.100      27.500         7.4021
       -26.050      27.500         7.0190
       -26.000      27.500         6.5147
       -25.950      27.500         6.0850
       -25.900      27.500         6.0836
       -25.850      27.500         6.1936
       -25.800      27.500         6.3044
       -25.750      27.500         6.3793
       -25.700      27.500         6.4139
       -25.650      27.500         6.4072
       -25.600      27.500         6.3636
       -25.550      27.500         6.2818
       -25.500      27.500         6.1595
       -25.450      27.500         5.9874
       -25.400      27.500         5.7678
       -25.350      27.500         5.4800
       -25.300      27.500         5.1163
       -25.250      27.500         4.6273
       -25.200      27.500         3.9556
       -25.150      27.500         0.0100
       -25.100      27.500         0.0100
       -25.050      27.500         0.0100
       -25.000      27.500         0.0100
       -24.950      27.500         0.0100
       -24.900      27.500         0.0100
       -27.100      27.550         2.8337
       -27.050      27.550         4.1400
       -27.000      27.550         4.6000
       -26.950      27.550         4.9485
       -26.900      27.550         5.2929
       -26.850      27.550         5.9622
       -26.800      27.550         6.6763
       -26.750      27.550         7.1700
       -26.700      27.550         7.5104
       -26.650      27.550         7.7606
       -26.600      27.550         7.9451
       -26.550      27.550         8.0719
       -26.500      27.550         8.1515
       -26.450      27.550         8.1936
       -26.400      27.550         8.2003
       -26.350      27.550         8.1719
       -26.300      27.550         8.1087
       -26.250      27.550         8.0057
       -26.200      27.550         7.8515
       -26.150      27.550         7.6368
       -26.100      27.550         7.3542
       -26.050      27.550         6.9782
       -26.000      27.550         6.4823
       -25.950      27.550         6.1218
       -25.900      27.550         6.1012
       -25.850      27.550         6.1846
       -25.800      27.550         6.2830
       -25.750      27.550         6.3546
       -25.700      27.550         6.3851
       -25.650      27.550         6.3741
       -25.600      27.550         6.3276
       -25.550      27.550         6.2413
